type,label,metric,observed,ci_lower,ci_upper,n,n_boot,ci_level,ci_method
method_mean,baseline,f1,0.11185968349228821,0.05538983754875808,0.18643020166776128,11,10000,0.95,BCa
method_mean,baseline,precision,0.13838711793257244,0.06681096681096678,0.23546945802008332,11,10000,0.95,BCa
method_mean,baseline,recall,0.13262896825396825,0.05666030493190406,0.27198232323232324,11,10000,0.95,BCa
method_mean,baseline,coverage,0.13262896825396825,0.05710227272727273,0.2682806386828512,11,10000,0.95,BCa
method_mean,pointnet2,f1,0.08234735016953706,0.02498293720140102,0.23711675160181597,11,10000,0.95,BCa
method_mean,pointnet2,precision,0.1715229215229215,0.06293706293706293,0.3503543002769951,11,10000,0.95,BCa
method_mean,pointnet2,recall,0.06040313040313039,0.014678314678314663,0.19747304763026338,11,10000,0.95,BCa
method_mean,pointnet2,coverage,0.06040313040313039,0.014105014105014092,0.21279528123367633,11,10000,0.95,BCa
method_mean,pointnet2_density,f1,0.14287645069411956,0.09707071718557185,0.22627401982184359,11,10000,0.95,BCa
method_mean,pointnet2_density,precision,0.20937733376701056,0.14205795255961576,0.26715034489014133,11,10000,0.95,BCa
method_mean,pointnet2_density,recall,0.11791513916513914,0.07335033091591159,0.2284442396942397,11,10000,0.95,BCa
method_mean,pointnet2_density,coverage,0.11791513916513914,0.07326065562490011,0.23101786306262612,11,10000,0.95,BCa
method_mean,rf,f1,0.1418596175922058,0.06507571647542586,0.3625158647276905,11,10000,0.95,BCa
method_mean,rf,precision,0.3940667175961293,0.22762918301175625,0.5621594092182328,11,10000,0.95,BCa
method_mean,rf,recall,0.11027078385631016,0.03980763805595522,0.3656487031726166,11,10000,0.95,BCa
method_mean,rf,coverage,0.11027078385631016,0.03968456538981589,0.3607317684193961,11,10000,0.95,BCa
method_mean,rf_density,f1,0.20854740070115704,0.14241072609587568,0.3443147446613026,11,10000,0.95,BCa
method_mean,rf_density,precision,0.4182539682539682,0.27777777777777773,0.5462639628177287,11,10000,0.95,BCa
method_mean,rf_density,recall,0.15032677157677155,0.09576433806711329,0.2768686342480868,11,10000,0.95,BCa
method_mean,rf_density,coverage,0.15032677157677155,0.09703672828672825,0.2827542317287787,11,10000,0.95,BCa
paired_diff_f1,B_vs_D: RF vs RF+Density,f1_diff,0.0666877831089512,-0.020413822754870345,0.11970147284054503,11,10000,0.95,BCa
paired_diff_f1,C_vs_E: PN++ vs PN++Density,f1_diff,0.06052910052458252,-0.003916649423534915,0.10536414627378804,11,10000,0.95,BCa
paired_diff_f1,A_vs_D: Baseline vs RF+Density,f1_diff,0.0966877172088688,0.04216230116154422,0.15790868905103927,11,10000,0.95,BCa
paired_diff_f1,B_vs_C: RF vs PN++,f1_diff,-0.05951226742266877,-0.12446849072282316,-0.024027961998692893,11,10000,0.95,BCa
paired_diff_f1,D_vs_E: RF+Density vs PN++Density,f1_diff,-0.06567095000703746,-0.10826321764496286,-0.02269277820399314,11,10000,0.95,BCa
