voxel_size,gaussian_sigma,min_crown_radius_m,mean_f1,std_f1,n_plots
0.2,0.3,0.5,0.27231654073759337,0.10664047299597447,5
0.1,0.5,0.5,0.2680666309558702,0.20829336490543338,5
0.1,0.3,0.5,0.2654516872068644,0.19578844931127304,5
0.1,1.0,1.0,0.2545454545454545,0.26302611363791184,5
0.1,0.5,1.0,0.25209514499837077,0.2818812101756107,5
0.1,1.0,0.5,0.25134254346009,0.1945012518536675,5
0.1,0.5,1.5,0.2347568710359408,0.2882828502954489,5
0.1,0.5,2.0,0.2347568710359408,0.2882828502954489,5
0.1,1.0,2.0,0.23219794847701825,0.2674193235311942,5
0.1,1.0,1.5,0.23198653198653196,0.26756641733607706,5
0.3,1.0,1.0,0.23038993362552512,0.2549856104052221,5
0.1,0.3,1.0,0.2258585858585859,0.2410682615862357,5
0.1,0.3,2.0,0.21962490622655664,0.2549282443023839,5
0.1,0.3,1.5,0.21962490622655664,0.2549282443023839,5
0.3,1.0,1.5,0.2138354978354978,0.2664145116937208,5
0.2,1.0,1.0,0.21018591714243887,0.1742152612131719,5
0.2,1.0,0.5,0.20848428260192967,0.18905177206380014,5
0.3,1.0,2.0,0.19783549783549784,0.27619454732441706,5
0.2,0.5,0.5,0.1896514387080425,0.10028652039355164,5
0.2,1.0,1.5,0.17030983658890636,0.09633549246019638,5
0.2,1.0,2.0,0.15492522120429097,0.11445833927079024,5
0.3,0.3,0.5,0.10818761494726033,0.049146303597481344,5
0.2,0.3,1.0,0.10001161629068604,0.09794487245347293,5
0.3,1.0,0.5,0.09181307305530909,0.0692849809336465,5
0.2,0.5,1.0,0.08731320359227335,0.07430974706650784,5
0.3,0.5,0.5,0.08596848239673885,0.057158698141529976,5
0.3,0.3,1.0,0.07385947385947386,0.05067884357133461,5
0.3,0.5,1.0,0.07385947385947386,0.05067884357133461,5
0.2,0.5,1.5,0.06123809523809524,0.034443552032913084,5
0.2,0.3,1.5,0.061016611295681054,0.034533857269470586,5
0.3,0.5,1.5,0.060571428571428575,0.03403932632943037,5
0.3,0.3,1.5,0.060571428571428575,0.03403932632943037,5
0.2,0.5,2.0,0.04523809523809524,0.04012452272941123,5
0.3,0.5,2.0,0.04523809523809524,0.04012452272941123,5
0.2,0.3,2.0,0.04523809523809524,0.04012452272941123,5
0.3,0.3,2.0,0.025523809523809525,0.032894526697025375,5
