voxel_size,gaussian_sigma,min_crown_radius_m,mean_f1,std_f1,n_plots
0.1,0.3,1.0,0.370501611863314,0.35287895892123555,5
0.2,0.5,1.5,0.36341200828157355,0.3464253265349919,5
0.1,0.5,1.0,0.362361001317523,0.3588069156394981,5
0.1,1.0,1.0,0.3598954248366013,0.35758381889384877,5
0.3,0.5,1.5,0.35843917002537695,0.35563692658203744,5
0.3,0.3,1.0,0.35417249417249413,0.3554231636630941,5
0.2,1.0,1.0,0.3532850095640793,0.3561037802244937,5
0.1,0.3,1.5,0.35119214586255254,0.3562396881281951,5
0.3,0.5,1.0,0.34813714063714063,0.353937629022385,5
0.2,1.0,1.5,0.34760173160173163,0.3524951276999324,5
0.2,0.5,1.0,0.34641654641654646,0.353401682117577,5
0.1,0.5,1.5,0.34288296711859123,0.36173403210634464,5
0.3,0.5,2.0,0.34243917002537694,0.36933951452495517,5
0.2,0.3,1.5,0.33331601731601734,0.35036512621747046,5
0.2,0.3,1.0,0.3327006327006327,0.35081192970316294,5
0.1,1.0,1.5,0.33256038647342995,0.35921161673948887,5
0.1,0.5,2.0,0.33256038647342995,0.35921161673948887,5
0.1,0.3,2.0,0.33256038647342995,0.35921161673948887,5
0.2,1.0,2.0,0.3316017316017316,0.36584159203601646,5
0.2,0.5,2.0,0.3316017316017316,0.36584159203601646,5
0.1,0.3,0.5,0.3236734241719287,0.17583029583672724,5
0.1,1.0,2.0,0.3219299441188496,0.3575533048677456,5
0.3,0.3,1.5,0.3211467051467052,0.3503829016952149,5
0.3,1.0,1.5,0.3211467051467052,0.3503829016952149,5
0.3,1.0,1.0,0.31839538239538245,0.3510520517784679,5
0.2,0.3,2.0,0.30514670514670517,0.3626415204648431,5
0.3,0.3,2.0,0.30514670514670517,0.3626415204648431,5
0.3,1.0,2.0,0.30514670514670517,0.3626415204648431,5
0.1,0.5,0.5,0.2982940868655154,0.17927767640942613,5
0.1,1.0,0.5,0.28213390619405654,0.17976543264817665,5
0.2,0.3,0.5,0.2641345142352981,0.19467788961182234,5
0.2,0.5,0.5,0.2471354875283447,0.1639487529958287,5
0.2,1.0,0.5,0.18468328281887603,0.11328008535117488,5
0.3,0.5,0.5,0.14483936353501572,0.03808025662851522,5
0.3,0.3,0.5,0.1391359093429963,0.02992473118467404,5
0.3,1.0,0.5,0.0926125520288767,0.07702296701541243,5
