voxel_size,gaussian_sigma,min_crown_radius_m,top_band_m,mean_f1,std_f1,n_plots
0.2,0.5,2.0,2.0,0.4674583124238296,0.3027906544893181,5
0.2,0.3,2.0,2.0,0.46197786868754614,0.31980082800676435,5
0.2,0.3,2.0,3.0,0.46121878702523855,0.3374252208927318,5
0.2,0.5,1.5,2.0,0.4556607865818393,0.26996061885368433,5
0.1,1.0,2.0,3.0,0.45292134468963735,0.27404468552926936,5
0.2,0.5,1.5,3.0,0.4504844908785796,0.28332398364102124,5
0.2,0.3,1.5,2.0,0.44974475326148616,0.3328171309454077,5
0.2,0.5,2.0,3.0,0.4465324591375011,0.286348282997742,5
0.2,0.3,1.5,3.0,0.440858189429618,0.33040326257432506,5
0.1,1.0,2.0,5.0,0.43841918841918837,0.3098978420991227,5
0.1,1.0,2.0,2.0,0.43044526901669766,0.25430249064325106,5
0.1,1.0,1.5,2.0,0.42944563872060454,0.23995294736695455,5
0.1,1.0,1.5,5.0,0.42792350043465655,0.3020755405817804,5
0.1,1.0,1.5,3.0,0.4270649350649351,0.25268369774233446,5
0.3,0.3,1.5,2.0,0.4170306436144946,0.22316918442318298,5
0.2,0.5,1.5,5.0,0.4140051437923778,0.3356029308636441,5
0.2,0.3,2.0,5.0,0.41393499054668464,0.3514515078011434,5
0.2,0.5,1.0,3.0,0.4087745378311417,0.23480514823317888,5
0.2,0.3,1.0,3.0,0.40635329031555445,0.22486107419186627,5
0.2,0.5,2.0,5.0,0.4042291509332182,0.34788494035617273,5
0.2,0.5,1.0,5.0,0.4002761032071377,0.2694904835595379,5
0.2,1.0,1.0,3.0,0.3988958997991256,0.279946920841452,5
0.2,0.3,1.5,5.0,0.39674254317111457,0.28266395978355624,5
0.3,0.3,1.5,5.0,0.38990226034629355,0.24895922027637848,5
0.2,1.0,2.0,3.0,0.38848011891490153,0.3268801954509971,5
0.3,0.3,2.0,2.0,0.3882690828187054,0.25390953302241737,5
0.2,0.3,1.0,5.0,0.3880004039233248,0.2329030880894377,5
0.1,0.3,2.0,2.0,0.38791334396597554,0.21763330012330231,5
0.2,0.3,1.0,2.0,0.3847412590086215,0.2601898428299594,5
0.3,0.3,1.5,3.0,0.37997319064925744,0.22024476446401062,5
0.3,1.0,1.0,2.0,0.3785413406896782,0.35312207935388246,5
0.3,0.3,2.0,3.0,0.3763233394578326,0.29720041675873643,5
0.2,1.0,1.5,3.0,0.37473826409996625,0.30613725615183324,5
0.1,0.5,2.0,5.0,0.37442080378250586,0.2466202374203906,5
0.3,0.5,1.0,5.0,0.37387702773417064,0.19313682915983557,5
0.3,0.5,2.0,2.0,0.3701563691838291,0.27848482413112396,5
0.2,1.0,1.0,5.0,0.36841146671434527,0.28307367666845795,5
0.3,0.3,1.0,5.0,0.36484803441416147,0.2006730379373098,5
0.1,0.3,2.0,3.0,0.3616618577255463,0.18102222549624816,5
0.3,0.5,1.5,3.0,0.36148763853367427,0.2707803187149691,5
0.3,0.5,1.5,2.0,0.3608026276872305,0.2531685884711746,5
0.2,1.0,2.0,5.0,0.35984595115029894,0.323965948504346,5
0.3,1.0,1.5,2.0,0.35963729365263897,0.3672059884023303,5
0.3,0.5,2.0,5.0,0.3587803500846979,0.3077869403481706,5
0.3,0.3,2.0,5.0,0.3578945991673902,0.31139941444680946,5
0.3,0.5,2.0,3.0,0.3574285874470888,0.27858887212092237,5
0.3,0.5,1.0,3.0,0.3572721721909962,0.175598707667713,5
0.3,0.5,1.5,5.0,0.35557179393496524,0.3059020606404142,5
0.1,0.3,2.0,5.0,0.3552485152511099,0.18723201366292255,5
0.1,0.5,2.0,2.0,0.3518251511130769,0.1779339904028039,5
0.3,1.0,2.0,2.0,0.3507246376811594,0.3634992390059726,5
0.1,1.0,1.0,5.0,0.3505859257022048,0.1950633153746958,5
0.2,0.5,1.0,2.0,0.34999479631281594,0.15767874174237959,5
0.1,0.3,1.5,2.0,0.3486981576740537,0.22456124629300078,5
0.2,1.0,1.5,5.0,0.34665913796348574,0.30132218760451246,5
0.3,0.5,1.0,2.0,0.3437718142523634,0.18185300799977064,5
0.3,1.0,2.0,3.0,0.34125494071146245,0.36048602333869156,5
0.3,1.0,1.5,3.0,0.34088491295938106,0.3607477174555001,5
0.1,1.0,1.0,3.0,0.34081744144515935,0.17272304554335868,5
0.2,1.0,2.0,2.0,0.33834995921952443,0.30767600521205246,5
0.3,1.0,1.0,3.0,0.3371837075967511,0.32148430135292794,5
0.1,0.5,2.0,3.0,0.33651127819548876,0.1750310930761877,5
0.1,0.5,1.5,5.0,0.3363558266736022,0.24641047060383295,5
0.3,1.0,1.0,5.0,0.33130699088145893,0.34710586716282993,5
0.1,0.5,1.5,2.0,0.3285047593004935,0.1731930064011896,5
0.1,1.0,1.0,2.0,0.32820850624684367,0.13915074172330402,5
0.1,0.5,1.5,3.0,0.32153869522290573,0.17898529815449232,5
0.3,0.3,1.0,2.0,0.3195909902782273,0.10641494967691464,5
0.3,1.0,2.0,5.0,0.3188405797101449,0.3579446097167672,5
0.2,1.0,1.5,2.0,0.31860248447204964,0.2636739677460147,5
0.3,1.0,1.5,5.0,0.31847055195806345,0.35818500580128576,5
0.1,0.3,1.5,3.0,0.3147980959277493,0.16156203148305429,5
0.3,0.3,1.0,3.0,0.3093503505694789,0.15709787894032018,5
0.3,1.0,0.5,3.0,0.3091940719059363,0.29523618627698156,5
0.3,1.0,0.5,5.0,0.3048939017971276,0.32041469493922276,5
0.1,0.3,1.5,5.0,0.2970081279005764,0.17191690911234067,5
0.2,1.0,1.0,2.0,0.29601686858961707,0.20783061788816107,5
0.1,0.3,1.0,5.0,0.280191579314899,0.09617710449656598,5
0.3,1.0,0.5,2.0,0.2801798157043315,0.21594795218448903,5
0.1,0.5,1.0,5.0,0.2755683613718747,0.11907063079861609,5
0.2,1.0,0.5,5.0,0.268907029478458,0.09105479873687769,5
0.1,0.5,1.0,3.0,0.2623404308774574,0.11412744448494072,5
0.3,0.5,0.5,5.0,0.24320219741272373,0.08747518976443348,5
0.2,1.0,0.5,3.0,0.23341779788838615,0.0849617951621977,5
0.1,0.5,1.0,2.0,0.2261391997241054,0.1149098796012306,5
0.1,0.3,1.0,3.0,0.20003884386531773,0.12341138419007214,5
0.2,1.0,0.5,2.0,0.19617461685150736,0.059579257128795825,5
0.2,0.5,0.5,5.0,0.19199454049700274,0.0953391808532342,5
0.1,0.3,1.0,2.0,0.17380050066369118,0.11798569820523576,5
0.3,0.5,0.5,3.0,0.1647402456208719,0.06780399302754782,5
0.2,0.5,0.5,3.0,0.16322613846965556,0.0875060884161281,5
0.3,0.5,0.5,2.0,0.1419934783206905,0.03871076345120716,5
0.1,1.0,0.5,5.0,0.1408202641864147,0.08084807457656139,5
0.2,0.3,0.5,5.0,0.12572889777328794,0.03581353479865461,5
0.2,0.5,0.5,2.0,0.11575453665263602,0.057464734379490484,5
0.1,1.0,0.5,3.0,0.11558925665448246,0.06694870224718093,5
0.2,0.3,0.5,3.0,0.10663639804534426,0.03190251692675483,5
0.3,0.3,0.5,5.0,0.10605023411297572,0.022512661088798014,5
0.3,0.3,0.5,3.0,0.09284084062587614,0.06974364923443116,5
0.1,0.5,0.5,5.0,0.09258713581446414,0.045305743765037466,5
0.1,0.5,0.5,2.0,0.08947164749776448,0.05729543523138232,5
0.3,0.3,0.5,2.0,0.08842377699110013,0.05610257522655518,5
0.1,1.0,0.5,2.0,0.0850364192382541,0.0667727799166993,5
0.2,0.3,0.5,2.0,0.07796694219415293,0.0326100806333434,5
0.1,0.3,0.5,5.0,0.07607317879235656,0.03529350035267588,5
0.1,0.5,0.5,3.0,0.07426547924004115,0.049014385916449084,5
0.1,0.3,0.5,3.0,0.05815886465437966,0.04435427509556416,5
0.1,0.3,0.5,2.0,0.05589179807049501,0.04146258478463239,5
